,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,credit_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total Wealth,social_class,loan_type,credit_rating,loan_term_type
198,4,Not Graduate,Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,Rejected,61400000,High Class,Platinum,Very Poor,Long Term
199,3,Graduate,Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,Rejected,44700000,High Middle Class,Gold,Very Poor,Long Term
200,4,Not Graduate,Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000,Rejected,86900000,High Class,Gold,Very Poor,Long Term
201,2,Not Graduate,Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,Rejected,24000000,Low Middle Class,Silver,Very Poor,Long Term
202,2,Graduate,No,500000,1500000,2,888,1500000,300000,1500000,600000,Approved,4400000,Low Class,Bronze,Excellent,Short Term
203,2,Graduate,Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,Rejected,57800000,High Middle Class,Gold,Very Poor,Intermedate Term
204,4,Not Graduate,Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,Approved,60400000,High Class,Platinum,Excellent,Long Term
205,3,Not Graduate,No,2900000,6500000,18,827,8300000,600000,10400000,3200000,Approved,25400000,Low Middle Class,Silver,Excellent,Long Term
206,2,Graduate,No,9800000,20900000,12,768,3400000,10200000,38600000,13400000,Approved,75400000,High Class,Gold,Good,Long Term
207,0,Graduate,No,7100000,15400000,18,707,10300000,10800000,19600000,5800000,Approved,53600000,High Middle Class,Gold,Good,Long Term
208,1,Not Graduate,Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000,Rejected,52400000,High Middle Class,Gold,Very Poor,Long Term
209,3,Graduate,No,1400000,3300000,2,652,100000,2100000,3500000,1900000,Approved,9000000,Low Class,Bronze,Fair,Short Term
210,3,Graduate,No,7800000,15900000,2,665,14400000,900000,27200000,5400000,Approved,55700000,High Middle Class,Gold,Good,Short Term
211,5,Not Graduate,Yes,1700000,6000000,18,420,500000,1600000,3700000,2300000,Rejected,9800000,Low Class,Silver,Very Poor,Long Term
212,2,Not Graduate,No,8500000,32700000,18,471,12600000,9400000,33900000,12500000,Rejected,76900000,High Class,Platinum,Very Poor,Long Term
213,5,Not Graduate,No,1900000,7500000,20,715,5100000,2800000,6500000,2800000,Approved,19100000,Low Middle Class,Silver,Good,Long Term
214,2,Not Graduate,Yes,6700000,15200000,10,689,0,8200000,15000000,6800000,Approved,36700000,Low Middle Class,Gold,Good,Long Term
215,3,Graduate,Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000,Approved,54300000,High Middle Class,Gold,Excellent,Intermedate Term
216,2,Graduate,No,2600000,7800000,4,819,3100000,4300000,5700000,1500000,Approved,17200000,Low Middle Class,Silver,Excellent,Intermedate Term
217,4,Graduate,Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000,Approved,78600000,High Class,Gold,Excellent,Intermedate Term
218,1,Not Graduate,Yes,6800000,17000000,2,744,15500000,3900000,23700000,3500000,Approved,53400000,High Middle Class,Gold,Good,Short Term
219,0,Not Graduate,No,3200000,11300000,6,484,3500000,5500000,8500000,2100000,Rejected,22800000,Low Middle Class,Silver,Very Poor,Intermedate Term
220,4,Not Graduate,No,2900000,10400000,6,673,5100000,1700000,10600000,1700000,Approved,22000000,Low Middle Class,Silver,Good,Intermedate Term
221,3,Graduate,Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000,Approved,59000000,High Class,Gold,Good,Long Term
222,4,Not Graduate,Yes,3900000,12400000,12,473,6400000,4700000,13100000,3800000,Rejected,31900000,Low Middle Class,Silver,Very Poor,Long Term
223,4,Graduate,Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000,Rejected,37200000,High Middle Class,Silver,Very Poor,Short Term
224,3,Not Graduate,Yes,700000,1700000,8,733,1200000,800000,2400000,500000,Approved,5600000,Low Class,Bronze,Good,Long Term
225,0,Not Graduate,No,5200000,15600000,20,434,14100000,5800000,18100000,5500000,Rejected,48700000,High Middle Class,Gold,Very Poor,Long Term
226,3,Not Graduate,Yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000,Approved,40000000,High Middle Class,Gold,Good,Long Term
227,4,Graduate,No,7200000,19100000,4,774,9400000,7000000,17900000,3600000,Approved,45100000,High Middle Class,Gold,Good,Intermedate Term
228,1,Not Graduate,Yes,8700000,27000000,10,717,25500000,8600000,17500000,9100000,Approved,69400000,High Class,Platinum,Good,Long Term
229,3,Not Graduate,Yes,1100000,3500000,12,503,3000000,400000,2200000,1200000,Rejected,7900000,Low Class,Bronze,Poor,Long Term
230,1,Graduate,Yes,4000000,10900000,14,598,3600000,6600000,13600000,4400000,Approved,32200000,Low Middle Class,Silver,Poor,Long Term
231,2,Graduate,No,9800000,32400000,2,543,24200000,17500000,25700000,7700000,Approved,84900000,High Class,Platinum,Poor,Short Term
232,0,Not Graduate,Yes,2700000,6800000,20,796,700000,4200000,7000000,1900000,Approved,16500000,Low Middle Class,Silver,Excellent,Long Term
233,3,Not Graduate,Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000,Rejected,64500000,High Class,Platinum,Very Poor,Long Term
234,5,Not Graduate,Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000,Approved,24300000,Low Middle Class,Silver,Fair,Long Term
235,1,Graduate,Yes,6900000,23400000,4,481,18700000,1100000,23400000,10200000,Approved,60300000,High Class,Gold,Very Poor,Intermedate Term
236,3,Graduate,Yes,900000,3500000,4,770,700000,0,2000000,600000,Rejected,4200000,Low Class,Bronze,Good,Intermedate Term
237,3,Graduate,Yes,4100000,15500000,6,667,2800000,1600000,14700000,4000000,Approved,27200000,Low Middle Class,Gold,Good,Intermedate Term
238,3,Not Graduate,Yes,4700000,17500000,8,585,1200000,3100000,9600000,4900000,Approved,23500000,Low Middle Class,Gold,Poor,Long Term
239,5,Graduate,Yes,3400000,11600000,16,479,9200000,5700000,11200000,2400000,Rejected,31900000,Low Middle Class,Silver,Very Poor,Long Term
240,2,Graduate,No,9600000,22500000,18,851,7400000,16200000,24300000,12700000,Approved,70200000,High Class,Gold,Excellent,Long Term
241,3,Not Graduate,Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000,Rejected,65400000,High Class,Gold,Very Poor,Intermedate Term
242,5,Graduate,No,5700000,12900000,18,807,4100000,900000,18600000,5500000,Approved,34800000,Low Middle Class,Silver,Excellent,Long Term
243,1,Not Graduate,Yes,8200000,32400000,18,831,22800000,12300000,17700000,7800000,Approved,68800000,High Class,Platinum,Excellent,Long Term
244,2,Not Graduate,No,2100000,5100000,12,674,2200000,3200000,6400000,2400000,Approved,16300000,Low Middle Class,Silver,Good,Long Term
245,1,Not Graduate,Yes,8000000,28100000,18,725,1900000,12800000,23000000,7500000,Approved,53200000,High Middle Class,Platinum,Good,Long Term
246,2,Not Graduate,No,8000000,29300000,4,600,16500000,13200000,29400000,6500000,Approved,73600000,High Class,Platinum,Poor,Intermedate Term
247,0,Not Graduate,Yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000,Rejected,54100000,High Middle Class,Platinum,Poor,Long Term
248,0,Graduate,No,8400000,20600000,10,477,1500000,1500000,25000000,11900000,Rejected,48300000,High Middle Class,Gold,Very Poor,Long Term
249,1,Not Graduate,Yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000,Approved,12500000,Low Middle Class,Silver,Poor,Intermedate Term
250,0,Not Graduate,Yes,4200000,16400000,20,539,9500000,2100000,11400000,3100000,Rejected,30300000,Low Middle Class,Gold,Poor,Long Term
251,5,Graduate,No,2600000,9100000,8,852,3700000,700000,10300000,3300000,Approved,20600000,Low Middle Class,Silver,Excellent,Long Term
252,3,Not Graduate,No,3700000,8500000,20,853,8300000,5700000,7500000,4900000,Approved,30100000,Low Middle Class,Silver,Excellent,Long Term
253,0,Graduate,No,8800000,30900000,12,729,1700000,700000,25700000,11400000,Approved,48300000,High Middle Class,Platinum,Good,Long Term
254,2,Not Graduate,No,2100000,4700000,2,546,6000000,3200000,5700000,1500000,Rejected,18500000,Low Middle Class,Bronze,Poor,Short Term
255,3,Graduate,Yes,900000,2400000,10,489,800000,0,2800000,500000,Rejected,5000000,Low Class,Bronze,Very Poor,Long Term
256,3,Graduate,Yes,9800000,35400000,6,869,14400000,16400000,22800000,10300000,Approved,73700000,High Class,Platinum,Excellent,Intermedate Term
257,2,Not Graduate,No,8000000,20000000,2,502,4100000,2200000,31600000,9900000,Rejected,55800000,High Middle Class,Gold,Poor,Short Term
258,0,Graduate,No,9800000,38800000,8,652,23200000,19000000,29700000,5400000,Approved,87100000,High Class,Platinum,Fair,Long Term
259,0,Not Graduate,Yes,300000,1100000,8,789,400000,100000,800000,400000,Approved,2000000,Low Class,Bronze,Excellent,Long Term
260,4,Not Graduate,No,2700000,8100000,4,325,5000000,800000,9900000,3400000,Approved,21800000,Low Middle Class,Silver,Very Poor,Intermedate Term
261,3,Graduate,Yes,7400000,19600000,2,716,4100000,8900000,29100000,4200000,Approved,53700000,High Middle Class,Gold,Good,Short Term
262,3,Graduate,No,9200000,34300000,18,523,25600000,4000000,29100000,8800000,Rejected,76700000,High Class,Platinum,Poor,Long Term
263,5,Not Graduate,No,9500000,22200000,20,352,24500000,0,30800000,7000000,Rejected,71800000,High Class,Gold,Very Poor,Long Term
264,5,Graduate,Yes,3800000,14400000,2,345,3300000,800000,13000000,4700000,Approved,25600000,Low Middle Class,Silver,Very Poor,Short Term
265,0,Graduate,No,8300000,19400000,18,649,2500000,16100000,24300000,11300000,Approved,62500000,High Class,Gold,Fair,Long Term
266,2,Graduate,Yes,2800000,7400000,18,666,100000,2300000,6300000,3400000,Approved,14900000,Low Middle Class,Silver,Good,Long Term
267,0,Graduate,No,8600000,20900000,10,813,11300000,11900000,26000000,4800000,Approved,62600000,High Class,Gold,Excellent,Long Term
268,0,Not Graduate,No,5400000,16800000,10,599,5300000,7400000,14500000,7600000,Approved,40200000,High Middle Class,Gold,Poor,Long Term
269,5,Graduate,Yes,4200000,9400000,6,678,4700000,5500000,9900000,5700000,Approved,30000000,Low Middle Class,Silver,Good,Intermedate Term
270,5,Not Graduate,No,5200000,12200000,20,513,13400000,2000000,16800000,5400000,Rejected,42800000,High Middle Class,Silver,Poor,Long Term
271,5,Graduate,No,9400000,27900000,4,870,1100000,200000,29500000,10400000,Approved,50600000,High Middle Class,Platinum,Excellent,Intermedate Term
272,3,Graduate,No,8800000,20400000,8,483,3200000,11400000,28200000,11800000,Rejected,63400000,High Class,Gold,Very Poor,Long Term
273,1,Graduate,Yes,5900000,16700000,16,308,5800000,8800000,19100000,5300000,Rejected,44900000,High Middle Class,Gold,Very Poor,Long Term
274,3,Graduate,Yes,1700000,4900000,16,591,4700000,1000000,4300000,1400000,Approved,13100000,Low Middle Class,Silver,Poor,Long Term
275,1,Not Graduate,No,7000000,23000000,10,886,14000000,3700000,26700000,3600000,Approved,55000000,High Middle Class,Gold,Excellent,Long Term
276,4,Not Graduate,No,1700000,4000000,6,829,0,1600000,5200000,1700000,Approved,10200000,Low Class,Bronze,Excellent,Intermedate Term
277,0,Not Graduate,No,1500000,4900000,12,651,1600000,2800000,4600000,800000,Approved,11300000,Low Class,Silver,Fair,Long Term
278,4,Not Graduate,No,2000000,4700000,18,733,3700000,3700000,7000000,2800000,Approved,19200000,Low Middle Class,Bronze,Good,Long Term
279,5,Graduate,Yes,3900000,15500000,12,433,9500000,5400000,7900000,4600000,Rejected,31300000,Low Middle Class,Gold,Very Poor,Long Term
280,1,Graduate,Yes,900000,3600000,14,713,1300000,1000000,1800000,1200000,Approved,6200000,Low Class,Bronze,Good,Long Term
281,1,Graduate,No,6900000,22500000,18,403,800000,8400000,16900000,6300000,Rejected,39300000,High Middle Class,Gold,Very Poor,Long Term
282,0,Graduate,Yes,2800000,7800000,10,405,7800000,2500000,7100000,3400000,Rejected,23600000,Low Middle Class,Silver,Very Poor,Long Term
283,3,Graduate,Yes,6800000,19900000,10,516,16000000,6000000,26000000,8500000,Rejected,63300000,High Class,Gold,Poor,Long Term
284,4,Not Graduate,Yes,600000,1800000,8,417,1700000,700000,1800000,800000,Rejected,5600000,Low Class,Bronze,Very Poor,Long Term
285,1,Not Graduate,No,4700000,14000000,6,468,11300000,1800000,10600000,4600000,Rejected,33000000,Low Middle Class,Silver,Very Poor,Intermedate Term
286,5,Graduate,Yes,3000000,11800000,10,672,8700000,3600000,9800000,4100000,Approved,29200000,Low Middle Class,Silver,Good,Long Term
287,5,Not Graduate,No,4000000,13900000,6,530,6000000,5600000,12500000,6000000,Rejected,34100000,Low Middle Class,Silver,Poor,Intermedate Term
288,1,Not Graduate,Yes,3100000,11300000,14,824,3700000,6000000,11000000,4400000,Approved,28200000,Low Middle Class,Silver,Excellent,Long Term
289,1,Not Graduate,Yes,7700000,25500000,12,549,18100000,10600000,20500000,7000000,Rejected,63900000,High Class,Platinum,Poor,Long Term
290,5,Not Graduate,Yes,4300000,9300000,10,450,2100000,6700000,10000000,4100000,Rejected,27200000,Low Middle Class,Silver,Very Poor,Long Term
291,1,Graduate,Yes,5800000,19500000,20,431,13800000,5000000,15600000,3300000,Rejected,43500000,High Middle Class,Gold,Very Poor,Long Term
292,3,Graduate,Yes,3600000,10700000,16,312,2300000,1600000,13100000,5200000,Rejected,25800000,Low Middle Class,Silver,Very Poor,Long Term
293,0,Not Graduate,Yes,2900000,7600000,8,320,8000000,5600000,9600000,3100000,Rejected,29200000,Low Middle Class,Silver,Very Poor,Long Term
294,0,Graduate,No,8800000,20200000,4,433,16000000,4200000,30500000,12400000,Rejected,71900000,High Class,Gold,Very Poor,Intermedate Term
295,1,Not Graduate,Yes,300000,1000000,10,431,400000,500000,900000,100000,Rejected,2200000,Low Class,Bronze,Very Poor,Long Term
296,5,Not Graduate,Yes,8600000,28900000,8,516,9900000,1800000,30200000,6800000,Rejected,57300000,High Middle Class,Platinum,Poor,Long Term
297,2,Not Graduate,Yes,3500000,12000000,14,476,1100000,6800000,12400000,2900000,Rejected,26700000,Low Middle Class,Silver,Very Poor,Long Term
298,5,Graduate,No,800000,2600000,6,560,100000,200000,3000000,1000000,Approved,5100000,Low Class,Bronze,Poor,Intermedate Term
299,2,Graduate,No,8000000,27100000,12,674,14400000,400000,25300000,6400000,Approved,54500000,High Middle Class,Platinum,Good,Long Term
300,0,Not Graduate,Yes,9900000,38200000,6,573,17200000,10000000,20100000,5900000,Approved,63100000,High Class,Platinum,Poor,Intermedate Term
301,2,Not Graduate,No,3300000,6600000,6,331,6300000,2000000,8900000,2700000,Rejected,23200000,Low Middle Class,Silver,Very Poor,Intermedate Term
302,4,Graduate,Yes,2000000,6700000,12,633,100000,800000,4800000,2000000,Approved,9700000,Low Class,Silver,Fair,Long Term
303,3,Not Graduate,No,4900000,12900000,18,877,1800000,7000000,17900000,3300000,Approved,34900000,Low Middle Class,Silver,Excellent,Long Term
304,5,Not Graduate,Yes,9200000,23600000,12,656,1400000,11200000,36400000,4900000,Approved,63100000,High Class,Platinum,Fair,Long Term
305,0,Not Graduate,No,7500000,18200000,6,782,7400000,12000000,19800000,4100000,Approved,50800000,High Middle Class,Gold,Excellent,Intermedate Term
306,5,Not Graduate,No,9000000,29300000,4,531,10400000,9500000,35500000,5800000,Approved,70200000,High Class,Platinum,Poor,Intermedate Term
307,3,Not Graduate,No,1400000,4100000,8,455,3000000,1400000,2900000,2100000,Rejected,10800000,Low Class,Bronze,Very Poor,Long Term
308,3,Graduate,No,9600000,19900000,14,452,4200000,16200000,28500000,6600000,Rejected,65100000,High Class,Gold,Very Poor,Long Term
309,2,Graduate,No,8400000,33200000,14,474,19600000,15000000,25400000,11500000,Rejected,79900000,High Class,Platinum,Very Poor,Long Term
310,3,Not Graduate,No,6400000,24400000,4,483,7800000,2400000,19100000,4500000,Approved,40200000,High Middle Class,Platinum,Very Poor,Intermedate Term
311,4,Graduate,No,5900000,16800000,8,481,6900000,11400000,19500000,3300000,Rejected,47000000,High Middle Class,Gold,Very Poor,Long Term
312,2,Graduate,Yes,2200000,5100000,20,859,3800000,1200000,6400000,3100000,Approved,16700000,Low Middle Class,Silver,Excellent,Long Term
313,4,Graduate,Yes,5600000,14100000,14,696,9000000,9200000,16500000,6800000,Approved,47100000,High Middle Class,Silver,Good,Long Term
314,4,Not Graduate,No,9800000,28700000,6,778,16600000,7400000,29700000,11100000,Approved,74600000,High Class,Platinum,Good,Intermedate Term
315,4,Graduate,No,4400000,14600000,4,499,1300000,6500000,16100000,5700000,Approved,34000000,Low Middle Class,Gold,Very Poor,Intermedate Term
316,2,Not Graduate,Yes,2400000,4900000,4,888,6400000,4300000,5100000,3400000,Approved,21600000,Low Middle Class,Silver,Excellent,Intermedate Term
317,1,Graduate,No,4400000,10800000,12,674,9600000,2700000,17200000,5300000,Approved,39200000,High Middle Class,Silver,Good,Long Term
318,4,Graduate,No,3700000,13200000,4,802,9800000,2400000,12500000,4300000,Approved,32700000,Low Middle Class,Silver,Excellent,Intermedate Term
319,4,Not Graduate,Yes,2300000,7800000,8,540,1500000,3400000,4700000,2800000,Rejected,14700000,Low Middle Class,Silver,Poor,Long Term
320,4,Graduate,Yes,5900000,19600000,8,726,17400000,6800000,20100000,8000000,Approved,58200000,High Middle Class,Gold,Good,Long Term
321,4,Not Graduate,Yes,6400000,23500000,2,485,7300000,2700000,23600000,3900000,Approved,43900000,High Middle Class,Platinum,Very Poor,Short Term
322,4,Graduate,Yes,4900000,17100000,6,612,1300000,7000000,19500000,5000000,Approved,37700000,High Middle Class,Gold,Fair,Intermedate Term
323,3,Not Graduate,Yes,9500000,24200000,8,879,3100000,17200000,26400000,12700000,Approved,68900000,High Class,Platinum,Excellent,Long Term
324,2,Not Graduate,No,5700000,16400000,12,708,3700000,800000,15000000,4400000,Approved,29600000,Low Middle Class,Gold,Good,Long Term
325,2,Not Graduate,Yes,2700000,5700000,8,850,3500000,5000000,10500000,3900000,Approved,25600000,Low Middle Class,Silver,Excellent,Long Term
326,2,Not Graduate,Yes,3900000,11300000,12,516,3100000,0,10400000,4600000,Rejected,22000000,Low Middle Class,Silver,Poor,Long Term
327,0,Not Graduate,No,7800000,28800000,12,465,4700000,7500000,28800000,7400000,Rejected,56200000,High Middle Class,Platinum,Very Poor,Long Term
328,0,Graduate,No,1100000,3200000,20,716,1800000,1400000,3600000,1500000,Approved,9400000,Low Class,Bronze,Good,Long Term
329,4,Not Graduate,No,200000,600000,10,404,0,100000,400000,0,Rejected,700000,Low Class,Bronze,Very Poor,Long Term
330,0,Not Graduate,Yes,4700000,10600000,20,512,8400000,4000000,12300000,7000000,Rejected,36400000,Low Middle Class,Silver,Poor,Long Term
331,3,Not Graduate,Yes,8200000,20600000,10,441,16100000,11400000,29100000,6100000,Rejected,70900000,High Class,Gold,Very Poor,Long Term
332,2,Not Graduate,Yes,4600000,18400000,2,555,7700000,2400000,14200000,4200000,Approved,33100000,Low Middle Class,Gold,Poor,Short Term
